Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,16.0,52.0,27.0,513800,2794100,2010,8959700
2001,Large (1000+),Female,16.0,52.0,30.0,555200,2896300,920,9558700
2001,Large (1000+),Female,16.0,57.0,0.0,151000,0,20,1812000
2001,Large (1000+),Female,16.0,57.0,1.5,295300,654600,80,4198200
2001,Large (1000+),Female,16.0,57.0,3.5,357700,1478300,130,5770700
2001,Large (1000+),Female,16.0,57.0,7.0,343400,1495700,420,5616500
2001,Large (1000+),Female,16.0,57.0,12.0,384900,1581800,220,6200600
2001,Large (1000+),Female,16.0,57.0,17.0,426900,1593000,630,6715800
2001,Large (1000+),Female,16.0,57.0,22.0,429800,2220600,310,7378200
2001,Large (1000+),Female,16.0,57.0,27.0,526100,2162000,150,8475200
2001,Large (1000+),Female,16.0,57.0,30.0,608400,3568100,1360,10868900
2001,Large (1000+),Female,16.0,62.0,0.0,274400,0,10,3292800
2001,Large (1000+),Female,16.0,62.0,1.5,130500,260000,10,1826000
2001,Large (1000+),Female,16.0,62.0,3.5,619900,3574600,30,11013400
2001,Large (1000+),Female,16.0,62.0,7.0,406200,2047900,60,6922300
2001,Large (1000+),Female,16.0,62.0,17.0,254500,686000,10,3740000
2001,Large (1000+),Female,16.0,62.0,22.0,783000,4890700,20,14286700
2001,Large (1000+),Female,16.0,62.0,27.0,788300,4041100,60,13500700
2001,Large (1000+),Female,16.0,62.0,30.0,676000,4309600,170,12421600
2001,Large (1000+),Female,16.0,65.0,3.5,148000,200000,30,1976000
2001,Large (1000+),Female,16.0,65.0,12.0,254600,804000,10,3859200
2001,Large (1000+),Female,16.0,65.0,17.0,195200,888000,10,3230400
2001,Large (1000+),Female,16.0,65.0,22.0,950200,1854400,20,13256800
2001,Large (1000+),Female,16.0,65.0,27.0,515800,2516800,60,8706400
2001,Large (1000+),Male,9.0,18.5,0.0,181400,8700,200,2185500
2001,Large (1000+),Male,9.0,18.5,3.5,182400,498500,260,2687300
2001,Large (1000+),Male,9.0,22.0,0.0,170000,10300,1430,2050300
2001,Large (1000+),Male,9.0,22.0,1.5,203800,316600,610,2762200
2001,Large (1000+),Male,9.0,22.0,3.5,198400,471100,340,2851900
2001,Large (1000+),Male,9.0,22.0,7.0,206100,735600,620,3208800
2001,Large (1000+),Male,9.0,27.0,0.0,205300,64100,400,2527700
2001,Large (1000+),Male,9.0,27.0,1.5,245500,530100,780,3476100
