年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
2001,E,4,539556.0,396140.0,348896.0,47244.0,143416.0,163.1,146.9,16.2,19.0,2126138.0,2119246.0,16005.0,22917.0
2001,E,M,365801.3333333333,300733.3333333333,275697.3333333333,25036.0,65068.0,171.36666666666667,158.03333333333333,13.333333333333334,20.533333333333335,6423165.0,6401798.0,64730.0,86235.0
2001,E,T,410500.0,325259.0,294506.0,30753.0,85241.0,169.3,155.2,14.1,20.1,8549304.0,8521043.0,80735.0,109151.0
2001,F,4,680069.0,481656.0,429297.0,52359.0,198413.0,159.9,146.1,13.8,19.2,41853.0,41884.0,568.0,532.0
2001,F,M,589842.0,434951.0,396678.0,38273.0,154891.0,155.23333333333332,145.46666666666667,9.766666666666666,19.166666666666668,255409.0,255065.0,3326.0,3729.0
2001,F,T,607182.0,444073.0,402768.0,41305.0,163109.0,155.6,145.1,10.5,19.1,297262.0,296949.0,3894.0,4261.0
2001,G,4,672591.0,477690.0,421477.0,56213.0,194901.0,161.0,142.2,18.8,19.3,234898.0,234751.0,2983.0,3129.0
2001,G,M,488943.3333333333,375060.0,340252.6666666667,34807.333333333336,113883.33333333333,168.0,150.33333333333334,17.666666666666668,20.033333333333335,1076950.0,1075522.0,15623.0,17149.0
2001,G,T,532553.0,399799.0,359764.0,40035.0,132754.0,166.8,148.6,18.2,19.9,1311847.0,1310274.0,18606.0,20278.0
2001,H,4,604205.0,468233.0,418707.0,49526.0,135972.0,167.2,150.8,16.4,20.2,168876.0,168373.0,2318.0,2822.0
2001,H,M,387372.0,318452.3333333333,279577.6666666667,38874.666666666664,68919.66666666667,183.9333333333333,160.53333333333333,23.400000000000002,21.166666666666668,2309952.0,2307164.0,29248.0,32038.0
2001,H,T,401017.0,327796.0,288185.0,39611.0,73221.0,183.1,159.9,23.2,21.1,2478829.0,2475538.0,31566.0,34859.0
2001,I,4,583970.0,420277.0,399029.0,21248.0,163693.0,158.6,150.2,8.4,20.0,322856.0,321559.0,3044.0,4344.0
2001,I,M,417957.6666666667,330328.0,317404.3333333333,12923.666666666666,87629.66666666667,168.6,160.79999999999998,7.8,21.066666666666666,5468087.0,5454684.0,76526.0,91139.0
2001,I,T,402755.0,322182.0,309937.0,12245.0,80573.0,169.9,162.1,7.8,21.2,5790943.0,5776243.0,79570.0,95483.0
2001,J,4,706302.0,508917.0,472673.0,36244.0,197385.0,156.8,144.0,12.8,19.6,179039.0,178534.0,3264.0,3768.0
2001,J,M,510079.0,380064.0,359976.3333333333,20087.666666666668,130015.0,153.1,144.56666666666666,8.533333333333333,19.566666666666666,1252129.0,1248474.0,24808.0,28336.0
2001,J,T,518625.0,384794.0,363194.0,21600.0,133831.0,154.2,145.2,9.0,19.6,1431168.0,1427008.0,28072.0,32105.0
2001,O,4,685577.0,473656.0,458665.0,14991.0,211921.0,147.6,142.3,5.3,19.3,27291.0,27281.0,322.0,331.0
2001,O,M,576053.3333333334,419410.0,412120.6666666667,7289.333333333333,156643.33333333334,152.3,148.0666666666667,4.233333333333333,19.766666666666666,1986881.0,1987702.0,30567.0,29722.0
2001,O,T,560211.0,409285.0,402732.0,6553.0,150926.0,153.3,149.1,4.2,19.8,2014173.0,2014983.0,30888.0,30053.0
2001,P,4,532695.0,405618.0,364618.0,41000.0,127077.0,163.3,151.7,11.6,20.1,401052.0,401157.0,5507.0,5395.0
2001,P,M,395351.3333333333,306582.3333333333,291012.0,15570.333333333334,88769.0,158.29999999999998,152.33333333333334,5.966666666666666,20.466666666666665,2536156.0,2538111.0,35548.0,34328.0
2001,P,T,415837.0,321595.0,302018.0,19577.0,94242.0,159.1,152.2,6.9,20.4,2937208.0,2939268.0,41056.0,39724.0
2001,Q,4,549519.0,411472.0,380627.0,30845.0,138047.0,159.0,145.9,13.1,18.9,14615.0,14609.0,232.0,241.0
2001,Q,M,452551.3333333333,337363.3333333333,321719.0,15644.333333333334,115188.0,159.13333333333333,151.53333333333333,7.6000000000000005,19.933333333333334,473061.0,473154.0,6368.0,6322.0
2001,Q,T,458147.0,340587.0,324204.0,16383.0,117560.0,158.7,150.9,7.8,19.8,487675.0,487763.0,6600.0,6563.0
2001,TL,4,553884.0,409156.0,367010.0,42146.0,144728.0,162.7,147.9,14.8,19.4,3983527.0,3973623.0,41343.0,51275.0
2001,TL,M,413236.3333333333,328612.6666666667,307336.3333333333,21276.333333333332,84623.66666666667,168.16666666666666,156.76666666666668,11.4,20.633333333333336,30357001.0,30307093.0,448084.0,500859.0
2001,TL,T,419480.0,332570.0,310372.0,22198.0,86910.0,168.1,156.7,11.4,20.6,34340528.0,34280714.0,489427.0,552134.0
2002,C,M,409955.3333333333,328869.0,306825.0,22044.0,81086.33333333333,167.6,157.4,10.200000000000001,20.933333333333334,38976.0,38792.0,285.0,450.0
2002,C,T,352480.0,302683.0,282735.0,19948.0,49797.0,172.4,161.6,10.8,21.4,38976.0,38793.0,286.0,450.0
2002,D,4,596580.0,462825.0,429032.0,33793.0,133755.0,167.8,153.1,14.7,19.9,127256.0,126727.0,1105.0,1634.0
2002,D,M,401732.6666666667,341076.3333333333,320070.6666666667,21005.666666666668,60656.333333333336,171.4333333333333,159.86666666666667,11.566666666666668,21.0,3636312.0,3625622.0,61833.0,73340.0
2002,D,T,367535.0,321012.0,304655.0,16357.0,46523.0,172.5,162.4,10.1,21.4,3763568.0,3752349.0,62938.0,74973.0
2002,E,4,528902.0,398246.0,348375.0,49871.0,130656.0,164.0,146.5,17.5,19.0,2027224.0,2018056.0,16617.0,25793.0
